ISO3 code,Economy,year,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth
KHM,Cambodia,2002,6.2651,23.17697684835727,34.953484675210724,0.26270923744575325,23.380028651467217,39.751170760667705,0.0,0.2115,1.5424
KHM,Cambodia,2003,10.2837,23.75078944046519,37.67993005616507,0.0,23.17697684835727,34.953484675210724,0.26270923744575325,0.9417,1.5111
KHM,Cambodia,2004,9.4577,23.294993377483,38.640386629721554,0.0,23.75078944046519,37.67993005616507,0.0,4.3193,1.4738
KHM,Cambodia,2005,13.3033,23.39729549944412,36.65737863733925,0.0,23.294993377483,38.640386629721554,0.0,6.6153,1.4576
KHM,Cambodia,2006,10.9434,26.198033640125743,37.21508044503808,0.0,23.39729549944412,36.65737863733925,0.0,5.8107,1.4759
KHM,Cambodia,2007,10.3985,26.536423846440478,36.83987100101075,0.0,26.198033640125743,37.21508044503808,0.0,8.7088,1.4755
KHM,Cambodia,2008,7.4764,25.727221254713875,36.874567315642416,0.0,26.536423846440478,36.83987100101075,0.0,24.0969,1.5179
KHM,Cambodia,2009,4.0748,25.96063701953791,39.33667912380859,0.0,25.727221254713875,36.874567315642416,0.0,-1.2417,1.5767
KHM,Cambodia,2010,5.0769,27.322899524852755,38.70942860418038,0.0,25.96063701953791,39.33667912380859,0.0,3.9964,1.5562
KHM,Cambodia,2011,7.2867,27.598682662667624,39.409738623500516,0.0,27.322899524852755,38.70942860418038,0.0,5.4784,1.5184
KHM,Cambodia,2012,7.6503,28.013495532948276,40.40397671879324,0.0,27.598682662667624,39.409738623500516,0.0,2.9343,1.5
KHM,Cambodia,2013,7.8575,29.674087153186743,41.01942307864851,0.0,28.013495532948276,40.40397671879324,0.0,2.9416,1.4951
KHM,Cambodia,2014,8.0003,30.06616713538886,41.17368980458131,0.0,29.674087153186743,41.01942307864851,0.0,3.8557,1.4824
KHM,Cambodia,2015,7.207,30.281419866954657,42.90953750048556,0.7927774333539988,30.06616713538886,41.17368980458131,0.0,1.2239,1.4602
KHM,Cambodia,2016,7.9055,31.033965543596725,41.917915556173604,0.0,30.281419866954657,42.90953750048556,0.7927774333539988,3.0191,1.4586
KHM,Cambodia,2017,8.075,31.606638675903913,41.95176512511426,0.0,31.033965543596725,41.917915556173604,0.0,2.9126,1.3818
KHM,Cambodia,2018,8.7762,30.39180715788619,39.573342802505366,0.0,31.606638675903913,41.95176512511426,0.0,2.4591,1.2437
KHM,Cambodia,2019,7.937,32.04132630853863,45.412519982995136,0.0,30.39180715788619,39.573342802505366,0.0,1.9426,1.2626
KHM,Cambodia,2020,-3.5557,34.44082824378499,42.953308338494956,0.0,32.04132630853863,45.412519982995136,0.0,2.9403,1.4706
KHM,Cambodia,2021,3.0898,36.23948124325105,46.05310591917389,,34.44082824378499,42.953308338494956,0.0,2.9207,1.4768
KHM,Cambodia,2022,5.1299,31.500572948662324,46.41411331511635,,36.23948124325105,46.05310591917389,,5.3437,1.3309
KHM,Cambodia,2023,5.0073,30.481103810718693,48.804042956499785,,31.500572948662324,46.41411331511635,,2.1275,1.2832
KHM,Cambodia,2024,5.9751,23.38648351247749,46.5598272993339,,30.481103810718693,48.804042956499785,,0.808,1.2259
LAO,Lao PDR,1985,5.07,19.667191246051242,47.98642783278277,,18.988575675924274,47.74879661695393,,,2.7691
LAO,Lao PDR,1986,4.8851,20.951862594202446,48.12803835958313,,19.667191246051242,47.98642783278277,,,2.8138
LAO,Lao PDR,1987,-1.4258,18.585638869742898,48.27326254488167,,20.951862594202446,48.12803835958313,,,2.8421
LAO,Lao PDR,1988,-2.0102,19.281612781508127,44.81748938197501,,18.585638869742898,48.27326254488167,,,2.8641
LAO,Lao PDR,1989,14.1906,20.311274436107436,48.51026664814479,,19.281612781508127,44.81748938197501,,61.3326,2.8651
LAO,Lao PDR,1990,6.7046,24.287029706102867,45.059681426211,,20.311274436107436,48.51026664814479,,35.643,2.8458
LAO,Lao PDR,1991,4.2966,21.89388404304936,41.77518468450687,,24.287029706102867,45.059681426211,,13.4416,2.8163
LAO,Lao PDR,1992,5.5599,22.829208192409897,41.01888698235549,92.31568016614744,21.89388404304936,41.77518468450687,,9.8645,2.7691
LAO,Lao PDR,1993,5.9126,22.106926075467726,39.979604002406305,,22.829208192409897,41.01888698235549,92.31568016614744,6.2672,2.7134
LAO,Lao PDR,1994,8.159,22.788188190732637,40.09191301661232,,22.106926075467726,39.979604002406305,,6.7845,2.6156
LAO,Lao PDR,1995,7.0313,22.936754549205,33.34385553320912,40.23824727285769,22.788188190732637,40.09191301661232,,19.5939,2.4684
LAO,Lao PDR,1996,6.9283,23.44654669571568,35.20134928531635,39.66089230330754,22.936754549205,33.34385553320912,40.23824727285769,13.0244,2.3313
LAO,Lao PDR,1997,6.8721,23.201979113884473,35.45053031205129,50.57662218613994,23.44654669571568,35.20134928531635,39.66089230330754,27.5089,2.0855
LAO,Lao PDR,1998,3.9676,22.868352475792513,35.25178337345564,38.71597576443505,23.201979113884473,35.45053031205129,50.57662218613994,90.9807,1.8511
LAO,Lao PDR,1999,7.3064,24.413587148178674,35.492331857939625,38.30654381814687,22.868352475792513,35.25178337345564,38.71597576443505,125.2721,1.7475
LAO,Lao PDR,2000,5.7988,23.30981390851944,31.960570324113583,37.92088011748254,24.413587148178674,35.492331857939625,38.30654381814687,25.0846,1.679
